Timestamp,Site - PV Power,Site - Load Power,Site - Grid Power,Site - Battery Power
Mon Nov 06 2017 00:00:00 GMT+0800 (SGT),0.012,3.6335,3.627,0.005
Mon Nov 06 2017 00:01:00 GMT+0800 (SGT),0.012,3.0085,3.005,0.0075
Mon Nov 06 2017 00:02:00 GMT+0800 (SGT),0.012,2.9905,2.984,0.005
Mon Nov 06 2017 00:03:00 GMT+0800 (SGT),0.012,3.005,2.999,0.005
Mon Nov 06 2017 00:04:00 GMT+0800 (SGT),0.012,3.199,3.19,0.0025
Mon Nov 06 2017 00:05:00 GMT+0800 (SGT),0.012,3.185,3.179,0.005
Mon Nov 06 2017 00:06:00 GMT+0800 (SGT),0.012,3.1665,3.16,0.005
Mon Nov 06 2017 00:07:00 GMT+0800 (SGT),0.012,3.165,3.4845,0.005
Mon Nov 06 2017 00:08:00 GMT+0800 (SGT),0.012,3.5645,3.5585,0.005
Mon Nov 06 2017 00:09:00 GMT+0800 (SGT),0.012,3.5825,3.5765,0.005
Mon Nov 06 2017 00:10:00 GMT+0800 (SGT),0.012,3.5635,3.557,0.005
Mon Nov 06 2017 00:11:00 GMT+0800 (SGT),0.012,3.5605,3.562,0.005
Mon Nov 06 2017 00:12:00 GMT+0800 (SGT),0.012,3.5605,3.5545,0.005
Mon Nov 06 2017 00:13:00 GMT+0800 (SGT),0.012,3.5275,3.5215,0.005
Mon Nov 06 2017 00:14:00 GMT+0800 (SGT),0.012,3.385,3.379,0.005
Mon Nov 06 2017 00:15:00 GMT+0800 (SGT),0.012,3.368,3.362,0.005
Mon Nov 06 2017 00:16:00 GMT+0800 (SGT),0.012,3.3765,3.3705,0.005
Mon Nov 06 2017 00:17:00 GMT+0800 (SGT),0.012,3.5965,3.5905,0.005
Mon Nov 06 2017 00:18:00 GMT+0800 (SGT),0.012,3.5955,3.5895,0.005
Mon Nov 06 2017 00:19:00 GMT+0800 (SGT),0.012,3.6085,3.6025,0.005
Mon Nov 06 2017 00:20:00 GMT+0800 (SGT),0.012,3.594,3.601,0.005
Mon Nov 06 2017 00:21:00 GMT+0800 (SGT),0.012,3.588,3.5815,0.005
Mon Nov 06 2017 00:22:00 GMT+0800 (SGT),0.012,3.587,3.581,0.005
Mon Nov 06 2017 00:23:00 GMT+0800 (SGT),0.012,3.588,3.582,0.005
Mon Nov 06 2017 00:24:00 GMT+0800 (SGT),0.012,3.5035,3.4975,0.005
Mon Nov 06 2017 00:25:00 GMT+0800 (SGT),0.012,3.4965,3.505,0.005
Mon Nov 06 2017 00:26:00 GMT+0800 (SGT),0.012,3.463,3.457,0.005
Mon Nov 06 2017 00:27:00 GMT+0800 (SGT),0.012,3.2195,3.2135,0.005
Mon Nov 06 2017 00:28:00 GMT+0800 (SGT),0.012,2.965,2.959,0.005
Mon Nov 06 2017 00:29:00 GMT+0800 (SGT),0.012,2.701,2.695,0.005
Mon Nov 06 2017 00:30:00 GMT+0800 (SGT),0.012,2.686,2.68,0.005
Mon Nov 06 2017 00:31:00 GMT+0800 (SGT),0.012,2.6925,2.6865,0.005
Mon Nov 06 2017 00:32:00 GMT+0800 (SGT),0.012,2.7935,2.7875,0.005
Mon Nov 06 2017 00:33:00 GMT+0800 (SGT),0.012,2.782,2.776,0.005
Mon Nov 06 2017 00:34:00 GMT+0800 (SGT),0.012,2.7865,2.7805,0.005
Mon Nov 06 2017 00:35:00 GMT+0800 (SGT),0.012,2.79,2.7865,0.0075
Mon Nov 06 2017 00:36:00 GMT+0800 (SGT),0.012,2.787,2.7805,0.005
Mon Nov 06 2017 00:37:00 GMT+0800 (SGT),0.012,3.497,3.133,0.005
Mon Nov 06 2017 00:38:00 GMT+0800 (SGT),0.012,3.462,3.4555,0.005
Mon Nov 06 2017 00:39:00 GMT+0800 (SGT),0.012,3.4745,3.466,0.005
Mon Nov 06 2017 00:40:00 GMT+0800 (SGT),0.012,3.462,3.456,0.005
Mon Nov 06 2017 00:41:00 GMT+0800 (SGT),0.012,3.643,3.637,0.005
Mon Nov 06 2017 00:42:00 GMT+0800 (SGT),0.012,4.054,3.8065,0.005
Mon Nov 06 2017 00:43:00 GMT+0800 (SGT),0.012,3.967,3.961,0.005
Mon Nov 06 2017 00:44:00 GMT+0800 (SGT),0.012,3.9655,3.9595,0.005
Mon Nov 06 2017 00:45:00 GMT+0800 (SGT),0.012,3.975,3.9685,0.005
Mon Nov 06 2017 00:46:00 GMT+0800 (SGT),0.012,3.9985,4.041,0.005
Mon Nov 06 2017 00:47:00 GMT+0800 (SGT),0.012,4.055,4.049,0.005
Mon Nov 06 2017 00:48:00 GMT+0800 (SGT),0.012,4.052,4.046,0.005
Mon Nov 06 2017 00:49:00 GMT+0800 (SGT),0.012,4.0545,4.054,0.005
Mon Nov 06 2017 00:50:00 GMT+0800 (SGT),0.012,4.133,4.0145,0.0075
Mon Nov 06 2017 00:51:00 GMT+0800 (SGT),0.012,3.902,3.896,0.005
Mon Nov 06 2017 00:52:00 GMT+0800 (SGT),0.012,3.899,3.8925,0.005
Mon Nov 06 2017 00:53:00 GMT+0800 (SGT),0.012,4.0015,3.9955,0.005
Mon Nov 06 2017 00:54:00 GMT+0800 (SGT),0.012,4.024,4.0145,0.005
Mon Nov 06 2017 00:55:00 GMT+0800 (SGT),0.012,4.018,4.012,0.005
Mon Nov 06 2017 00:56:00 GMT+0800 (SGT),0.012,3.9985,3.992,0.005
Mon Nov 06 2017 00:57:00 GMT+0800 (SGT),0.012,3.994,4,0.005
Mon Nov 06 2017 00:58:00 GMT+0800 (SGT),0.012,4.0085,4.0025,0.005
Mon Nov 06 2017 00:59:00 GMT+0800 (SGT),0.012,3.987,3.981,0.005
Mon Nov 06 2017 01:00:00 GMT+0800 (SGT),0.012,4.231,4.221,0.005
Mon Nov 06 2017 01:01:00 GMT+0800 (SGT),0.012,4.21,4.204,0.005
Mon Nov 06 2017 01:02:00 GMT+0800 (SGT),0.012,4.321,4.315,0.005
Mon Nov 06 2017 01:03:00 GMT+0800 (SGT),0.012,4.2975,4.2915,0.005
Mon Nov 06 2017 01:04:00 GMT+0800 (SGT),0.012,4.298,4.292,0.005
Mon Nov 06 2017 01:05:00 GMT+0800 (SGT),0.012,4.5465,4.5405,0.005
Mon Nov 06 2017 01:06:00 GMT+0800 (SGT),0.012,,4.423,0.005
Mon Nov 06 2017 01:07:00 GMT+0800 (SGT),0.012,4.3855,4.3795,0.005
Mon Nov 06 2017 01:08:00 GMT+0800 (SGT),0.012,4.3255,4.3195,0.005
Mon Nov 06 2017 01:09:00 GMT+0800 (SGT),0.012,4.311,,0.005
Mon Nov 06 2017 01:10:00 GMT+0800 (SGT),0.012,4.3275,4.319,0.005
Mon Nov 06 2017 01:11:00 GMT+0800 (SGT),0.012,4.2245,4.226,0.005
Mon Nov 06 2017 01:12:00 GMT+0800 (SGT),0.012,4.2245,4.2185,0.005
Mon Nov 06 2017 01:13:00 GMT+0800 (SGT),0.012,4.2195,4.205,0.005
Mon Nov 06 2017 01:14:00 GMT+0800 (SGT),0.012,4.215,4.209,0.005
Mon Nov 06 2017 01:15:00 GMT+0800 (SGT),0.012,4.212,4.206,0.005
Mon Nov 06 2017 01:16:00 GMT+0800 (SGT),0.012,3.9095,3.9035,0.005
Mon Nov 06 2017 01:17:00 GMT+0800 (SGT),0.012,3.638,3.632,0.005
Mon Nov 06 2017 01:18:00 GMT+0800 (SGT),0.012,3.625,3.617,0.005
Mon Nov 06 2017 01:19:00 GMT+0800 (SGT),0.012,3.538,3.522,0.005
Mon Nov 06 2017 01:20:00 GMT+0800 (SGT),0.012,3.5385,3.535,0.0075
Mon Nov 06 2017 01:21:00 GMT+0800 (SGT),0.012,3.529,3.523,0.005
Mon Nov 06 2017 01:22:00 GMT+0800 (SGT),0.012,3.5355,3.5295,0.005
Mon Nov 06 2017 01:23:00 GMT+0800 (SGT),0.012,3.523,3.517,0.005
Mon Nov 06 2017 01:24:00 GMT+0800 (SGT),0.012,3.517,3.511,0.005
Mon Nov 06 2017 01:25:00 GMT+0800 (SGT),0.012,3.5435,3.5375,0.005
Mon Nov 06 2017 01:26:00 GMT+0800 (SGT),0.012,3.539,3.533,0.005
Mon Nov 06 2017 01:27:00 GMT+0800 (SGT),0.012,3.5315,3.528,0.005
Mon Nov 06 2017 01:28:00 GMT+0800 (SGT),0.012,3.483,3.477,0.005
Mon Nov 06 2017 01:29:00 GMT+0800 (SGT),0.012,3.467,3.415,0.0075
Mon Nov 06 2017 01:30:00 GMT+0800 (SGT),0.012,3.4025,3.3965,0.005
Mon Nov 06 2017 01:31:00 GMT+0800 (SGT),0.012,3.3885,3.385,0.0075
Mon Nov 06 2017 01:32:00 GMT+0800 (SGT),0.012,3.3925,3.3865,0.005
Mon Nov 06 2017 01:33:00 GMT+0800 (SGT),0.012,3.383,4.029,0.005
Mon Nov 06 2017 01:34:00 GMT+0800 (SGT),0.012,4.002,3.996,0.005
Mon Nov 06 2017 01:35:00 GMT+0800 (SGT),0.012,3.908,3.8965,0.005
Mon Nov 06 2017 01:36:00 GMT+0800 (SGT),0.012,3.898,3.89,0.005
Mon Nov 06 2017 01:37:00 GMT+0800 (SGT),0.012,3.9005,3.897,0.0075
Mon Nov 06 2017 01:38:00 GMT+0800 (SGT),0.012,3.911,3.905,0.005
Mon Nov 06 2017 01:39:00 GMT+0800 (SGT),0.012,3.898,3.8925,0.005
Mon Nov 06 2017 01:40:00 GMT+0800 (SGT),0.012,4.033,4.0865,0.005
Mon Nov 06 2017 01:41:00 GMT+0800 (SGT),0.012,4.0425,4.0365,0.005
Mon Nov 06 2017 01:42:00 GMT+0800 (SGT),0.012,4.039,4.033,0.005
