Timestamp,Site - PV Power,Site - Load Power,Site - Grid Power,Site - Battery Power,MPPT - Current,MPPT - Voltage,BMS - Battery Voltage,BMS - Battery Current,BMS - Temperature,BMS - Amp Hour Charge
Mon Nov 06 2017 00:00:00 GMT+0800 (SGT),0.012,3.6335,3.627,0.005,,,50.94,0.4205,21,0.007
Mon Nov 06 2017 00:01:00 GMT+0800 (SGT),0.012,3.0085,3.005,0.0075,,,50.935,0.4175,21,0.007
Mon Nov 06 2017 00:02:00 GMT+0800 (SGT),0.012,2.9905,2.984,0.005,,,50.935,0.419,21,0.007
Mon Nov 06 2017 00:03:00 GMT+0800 (SGT),0.012,3.005,2.999,0.005,,,50.935,0.418,21,0.007
Mon Nov 06 2017 00:04:00 GMT+0800 (SGT),0.012,3.199,3.19,0.0025,,,50.94,0.421,21,0.007
Mon Nov 06 2017 00:05:00 GMT+0800 (SGT),0.012,3.185,3.179,0.005,,,50.94,0.4225,21,0.007
Mon Nov 06 2017 00:06:00 GMT+0800 (SGT),0.012,3.1665,3.16,0.005,,,50.94,0.4195,21,0.007
Mon Nov 06 2017 00:07:00 GMT+0800 (SGT),0.012,3.165,3.4845,0.005,,,50.935,0.418,21,0.007
Mon Nov 06 2017 00:08:00 GMT+0800 (SGT),0.012,3.5645,3.5585,0.005,,,50.93,0.422,21,0.007
Mon Nov 06 2017 00:09:00 GMT+0800 (SGT),0.012,3.5825,3.5765,0.005,,,50.93,0.423,21,0.007
Mon Nov 06 2017 00:10:00 GMT+0800 (SGT),0.012,3.5635,3.557,0.005,,,50.935,0.42,21,0.007
Mon Nov 06 2017 00:11:00 GMT+0800 (SGT),0.012,3.5605,3.562,0.005,,,50.93,0.42,21,0.007
Mon Nov 06 2017 00:12:00 GMT+0800 (SGT),0.012,3.5605,3.5545,0.005,,,50.93,0.421,21,0.007
Mon Nov 06 2017 00:13:00 GMT+0800 (SGT),0.012,3.5275,3.5215,0.005,,,50.93,0.421,21,0.007
Mon Nov 06 2017 00:14:00 GMT+0800 (SGT),0.012,3.385,3.379,0.005,,,50.935,0.421,21,0.007
Mon Nov 06 2017 00:15:00 GMT+0800 (SGT),0.012,3.368,3.362,0.005,,,50.93,0.4185,21,0.007
Mon Nov 06 2017 00:16:00 GMT+0800 (SGT),0.012,3.3765,3.3705,0.005,,,50.93,0.423,21,0.007
Mon Nov 06 2017 00:17:00 GMT+0800 (SGT),0.012,3.5965,3.5905,0.005,,,50.93,0.4225,21,0.007
Mon Nov 06 2017 00:18:00 GMT+0800 (SGT),0.012,3.5955,3.5895,0.005,,,50.93,0.4235,21,0.007
Mon Nov 06 2017 00:19:00 GMT+0800 (SGT),0.012,3.6085,3.6025,0.005,,,50.93,0.422,21,0.007
Mon Nov 06 2017 00:20:00 GMT+0800 (SGT),0.012,3.594,3.601,0.005,,,50.93,0.422,21,0.007
Mon Nov 06 2017 00:21:00 GMT+0800 (SGT),0.012,3.588,3.5815,0.005,,,50.93,0.42,21,0.007
Mon Nov 06 2017 00:22:00 GMT+0800 (SGT),0.012,3.587,3.581,0.005,,,50.93,0.4215,21,0.007
Mon Nov 06 2017 00:23:00 GMT+0800 (SGT),0.012,3.588,3.582,0.005,,,50.93,0.414,21,0.007
Mon Nov 06 2017 00:24:00 GMT+0800 (SGT),0.012,3.5035,3.4975,0.005,,,50.93,0.42,21,0.007
Mon Nov 06 2017 00:25:00 GMT+0800 (SGT),0.012,3.4965,3.505,0.005,,,50.93,0.42,21,0.007
Mon Nov 06 2017 00:26:00 GMT+0800 (SGT),0.012,3.463,3.457,0.005,,,50.93,0.42,21,0.007
Mon Nov 06 2017 00:27:00 GMT+0800 (SGT),0.012,3.2195,3.2135,0.005,,,50.93,0.4185,21,0.007
Mon Nov 06 2017 00:28:00 GMT+0800 (SGT),0.012,2.965,2.959,0.005,,,50.93,0.419,21,0.007
